package,comment,reference
com.android.chrome,Use Bromite instead,https://grapheneos.org/usage#web-browsing
com.android.hotwordenrollment.okgoogle,OK Google,https://github.com/lineageos4microg/l4m_website/issues/16
com.android.hotwordenrollment.xgoogle,OK Google,
com.google.android.apps.docs,Use NextCloud instead,
com.google.android.apps.pixelmigrate,Data Transfer Tool,https://www.androidpolice.com/2017/09/06/googles-new-data-transfer-tool-shows-play-store-likely-pixel-2-system-app/
com.google.android.apps.scone,Connectivity Health Services,https://www.androidpolice.com/2018/10/24/google-releases-trio-new-system-apps-play-store-including-pixel-exclusives/
com.google.android.apps.tips,Pixel Tips,https://www.androidpolice.com/2018/10/24/google-releases-trio-new-system-apps-play-store-including-pixel-exclusives/
com.google.android.feedback,Force close reporting,
com.google.android.googlequicksearchbox,Google search widget,
com.google.android.music,Play Music,
com.google.android.tag,Analytics,https://en.wikipedia.org/wiki/Google_Tag_Manager
com.google.android.videos,Play Movies & TV,
com.google.android.youtube,Use NewPipe instead,
com.google.vr.apps.ornament,AR stickers,https://play.google.com/store/apps/details?id=com.google.vr.apps.ornament
com.google.vr.apps.ornament.content.stickers.fujisan,AR stickers,
com.google.vr.apps.ornament.content.stickers.hoops,AR stickers,
com.google.vr.apps.ornament.content.stickers.metronome,AR stickers,
